context,dataset,sequence_id,model,ridge_id,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,n_origins
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,TCN,,2.136540826,0.7180983809,2.105550172,2.300313885,2.387560991,1450
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,TCN,,2.566196574,0.7642448753,2.522194499,2.791006952,2.837666604,1281
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,TCN,,1.9157421,0.7159770761,2.021841483,2.152856516,2.235997733,1195
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,TCN,,2.453110662,1.119011795,2.039318189,2.188234777,2.430918252,1247
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,TCN,,1.560393851,0.7450679881,1.818408471,1.926632184,1.945042641,1672
EUROC_TO_UZH,UZH_FPV,indoor_forward_6_snapdragon,GRU,,4.000391962,1.83799446,3.548381454,3.83475574,4.13852305,1349
EUROC_TO_UZH,UZH_FPV,indoor_forward_9_snapdragon,GRU,,0.8721521701,0.6654452183,0.6828117499,0.8379059093,1.149340559,1493
EUROC_TO_UZH,UZH_FPV,indoor_forward_10_snapdragon,GRU,,1.05252624,0.7074996907,0.911214826,1.049235522,1.329850176,1482
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,GRU,,2.169560841,0.6602245802,2.116569693,2.215215632,2.277366688,1450
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,GRU,,2.600364596,0.6919420361,2.566740105,2.680009099,2.742447168,1281
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,GRU,,1.880170555,0.6456512274,2.007599431,2.045501885,2.132112366,1195
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,GRU,,2.528019637,1.111183969,2.037230589,2.202284478,2.441382209,1247
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,GRU,,1.537120625,0.7114770236,1.812168559,1.880324458,1.935685832,1672
EUROC_TO_UZH,UZH_FPV,indoor_forward_6_snapdragon,Transformer,,4.276050264,2.183685459,3.825471317,4.051187558,4.379347517,1349
EUROC_TO_UZH,UZH_FPV,indoor_forward_9_snapdragon,Transformer,,1.030928846,0.796384412,0.8022671472,0.9770073814,1.343528984,1493
EUROC_TO_UZH,UZH_FPV,indoor_forward_10_snapdragon,Transformer,,1.251095988,0.8560283759,1.052389012,1.218440626,1.54913173,1482
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,Transformer,,2.199387026,0.7682225955,2.139646288,2.198074454,2.314745311,1450
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,Transformer,,2.645256119,0.8269026361,2.596637377,2.657310484,2.766766199,1281
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,Transformer,,1.900848192,0.7712487969,1.98228434,2.031883637,2.162619218,1195
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,Transformer,,2.684518898,1.340463322,2.205596313,2.36143177,2.599075163,1247
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,Transformer,,1.592594284,0.8247970815,1.830297757,1.888632304,2.006778866,1672
UZH_TO_EUROC,EUROC,V1_01_easy,Persistence,,0.5639882678,0.4047078867,0.4680215359,0.5449944889,0.6620481976,2868
UZH_TO_EUROC,EUROC,V1_02_medium,Persistence,,0.7925081888,0.5679561859,0.5695716618,0.736700159,0.9996927157,1666
UZH_TO_EUROC,EUROC,V1_03_difficult,Persistence,,0.8383637495,0.6147949478,0.6452296575,0.8193058374,1.046251188,2106
UZH_TO_EUROC,EUROC,V2_01_easy,Persistence,,1.130114331,0.6649999003,0.9955112485,1.16941163,1.196955533,2236
UZH_TO_EUROC,EUROC,V2_02_medium,Persistence,,1.04142078,0.7314790566,0.8394783686,1.032624619,1.263879894,2305
UZH_TO_EUROC,EUROC,V2_03_difficult,Persistence,,1.135551303,0.7558948259,0.9911508357,1.165354104,1.300542021,2293
UZH_TO_EUROC,EUROC,V1_01_easy,TCN,,0.5492607363,0.4173302861,0.4489256322,0.5135146146,0.5706555713,2868
UZH_TO_EUROC,EUROC,V1_02_medium,TCN,,0.7515307635,0.5556374283,0.5983547798,0.7181893741,0.8222239744,1666
UZH_TO_EUROC,EUROC,V1_03_difficult,TCN,,0.7877053176,0.5965786423,0.6449339688,0.7682989765,0.8619972518,2106
UZH_TO_EUROC,EUROC,V2_01_easy,TCN,,0.9505216063,0.6133753148,0.8125511481,0.9311010567,0.9365863773,2236
UZH_TO_EUROC,EUROC,V2_02_medium,TCN,,0.9377700447,0.6932727304,0.7870533192,0.9378340185,1.040149147,2305
UZH_TO_EUROC,EUROC,V2_03_difficult,TCN,,0.975504881,0.697085848,0.8787017058,1.001469844,1.064850443,2293
