context,model,horizon_step,horizon_ms,mean_sequence_rmse,ci_low,ci_high
WITHIN_UZH,TCN,20,200,2.110540078,1.537390513,2.700632876
WITHIN_UZH,GRU,1,10,1.518204133,1.060455977,1.958223017
WITHIN_UZH,GRU,2,20,1.605368336,1.058523963,2.157560637
WITHIN_UZH,GRU,3,30,1.636647885,1.083293141,2.252491882
WITHIN_UZH,GRU,4,40,1.720276052,1.180549638,2.319980247
WITHIN_UZH,GRU,5,50,1.837600112,1.2973804,2.357711322
WITHIN_UZH,GRU,6,60,1.933514901,1.336790208,2.484196507
WITHIN_UZH,GRU,7,70,1.935169044,1.265722902,2.610497671
WITHIN_UZH,GRU,8,80,1.898679458,1.241426856,2.618697656
WITHIN_UZH,GRU,9,90,1.931232971,1.321649257,2.61387791
WITHIN_UZH,GRU,10,100,2.01092763,1.418095278,2.598306979
WITHIN_UZH,GRU,11,110,2.057206262,1.442225946,2.644028865
WITHIN_UZH,GRU,12,120,2.032349992,1.351933778,2.72496948
WITHIN_UZH,GRU,13,130,1.984550155,1.322587177,2.725570477
WITHIN_UZH,GRU,14,140,2.002073063,1.388185939,2.701756007
WITHIN_UZH,GRU,15,150,2.0769932,1.489800818,2.680334515
WITHIN_UZH,GRU,16,160,2.120937266,1.501686707,2.726785763
WITHIN_UZH,GRU,17,170,2.092841438,1.406328136,2.801608952
WITHIN_UZH,GRU,18,180,2.034791099,1.376813717,2.777764551
WITHIN_UZH,GRU,19,190,2.049164108,1.442391749,2.7524407
WITHIN_UZH,GRU,20,200,2.124683709,1.536134234,2.743458337
WITHIN_UZH,Transformer,1,10,0.8793729151,0.6718522441,1.086822333
WITHIN_UZH,Transformer,2,20,1.276109882,0.9716288223,1.594964065
WITHIN_UZH,Transformer,3,30,1.481887947,1.078638379,1.924951714
WITHIN_UZH,Transformer,4,40,1.607616832,1.161646243,2.082340337
WITHIN_UZH,Transformer,5,50,1.784377304,1.305101402,2.236184332
WITHIN_UZH,Transformer,6,60,1.913738619,1.37192052,2.408673521
WITHIN_UZH,Transformer,7,70,1.953128855,1.328474394,2.58777151
WITHIN_UZH,Transformer,8,80,1.905133869,1.278002958,2.592297132
WITHIN_UZH,Transformer,9,90,1.936370658,1.350366246,2.596608353
WITHIN_UZH,Transformer,10,100,2.015393344,1.432907482,2.594343185
WITHIN_UZH,Transformer,11,110,2.052222238,1.451520727,2.627110255
WITHIN_UZH,Transformer,12,120,2.034350132,1.3707582,2.715553584
WITHIN_UZH,Transformer,13,130,1.971939948,1.324897257,2.695274732
WITHIN_UZH,Transformer,14,140,1.982397893,1.382550304,2.668901644
WITHIN_UZH,Transformer,15,150,2.054659343,1.481399166,2.643561553
WITHIN_UZH,Transformer,16,160,2.1125312,1.506123601,2.700219418
WITHIN_UZH,Transformer,17,170,2.086497941,1.414709704,2.783510982
WITHIN_UZH,Transformer,18,180,2.025371912,1.376929475,2.762000979
WITHIN_UZH,Transformer,19,190,2.044592169,1.445116736,2.73753345
WITHIN_UZH,Transformer,20,200,2.108006366,1.526418299,2.715332784
EUROC_TO_UZH,Persistence,1,10,0.752581503,0.572860723,0.9591734053
EUROC_TO_UZH,Persistence,2,20,1.265163695,0.9617090346,1.583455432
EUROC_TO_UZH,Persistence,3,30,1.529500584,1.118444,1.938401719
EUROC_TO_UZH,Persistence,4,40,1.770062019,1.273779417,2.239623203
EUROC_TO_UZH,Persistence,5,50,2.038285281,1.460662592,2.546934873
EUROC_TO_UZH,Persistence,6,60,2.235356801,1.572738932,2.826158686
EUROC_TO_UZH,Persistence,7,70,2.332955847,1.582177668,3.027066645
EUROC_TO_UZH,Persistence,8,80,2.370508687,1.592531915,3.14692618
EUROC_TO_UZH,Persistence,9,90,2.433965873,1.66344904,3.201762709
EUROC_TO_UZH,Persistence,10,100,2.513596043,1.731506565,3.229322944
EUROC_TO_UZH,Persistence,11,110,2.56613227,1.75870191,3.302124887
EUROC_TO_UZH,Persistence,12,120,2.57301019,1.735792651,3.414481364
EUROC_TO_UZH,Persistence,13,130,2.565567194,1.717323509,3.45088576
EUROC_TO_UZH,Persistence,14,140,2.615798424,1.780730228,3.486861922
EUROC_TO_UZH,Persistence,15,150,2.683051602,1.853509316,3.493745242
EUROC_TO_UZH,Persistence,16,160,2.714776004,1.875582337,3.506921828
EUROC_TO_UZH,Persistence,17,170,2.700634049,1.848249415,3.55334366
EUROC_TO_UZH,Persistence,18,180,2.65473854,1.819235839,3.545003735
EUROC_TO_UZH,Persistence,19,190,2.643728484,1.841027108,3.488060689
EUROC_TO_UZH,Persistence,20,200,2.654521275,1.887011845,3.387620648
EUROC_TO_UZH,Source-selected B3 Ridge,1,10,0.3396915271,0.2388625823,0.4416935099
EUROC_TO_UZH,Source-selected B3 Ridge,2,20,1.073607985,0.7491205115,1.411754674
EUROC_TO_UZH,Source-selected B3 Ridge,3,30,1.586995488,1.105171821,2.101603006
EUROC_TO_UZH,Source-selected B3 Ridge,4,40,1.717408454,1.226855565,2.234842111
EUROC_TO_UZH,Source-selected B3 Ridge,5,50,1.844444743,1.333554688,2.32074646
EUROC_TO_UZH,Source-selected B3 Ridge,6,60,2.011681085,1.427887901,2.548954781
EUROC_TO_UZH,Source-selected B3 Ridge,7,70,2.07867095,1.418455213,2.748416711
EUROC_TO_UZH,Source-selected B3 Ridge,8,80,2.071828481,1.397872128,2.819955636
EUROC_TO_UZH,Source-selected B3 Ridge,9,90,2.118388778,1.480809294,2.847968697
EUROC_TO_UZH,Source-selected B3 Ridge,10,100,2.205469264,1.591552669,2.838571811
EUROC_TO_UZH,Source-selected B3 Ridge,11,110,2.25014785,1.618601867,2.87408332
EUROC_TO_UZH,Source-selected B3 Ridge,12,120,2.23127136,1.532250666,2.974748032
EUROC_TO_UZH,Source-selected B3 Ridge,13,130,2.206577501,1.522968238,3.007983533
EUROC_TO_UZH,Source-selected B3 Ridge,14,140,2.2379242,1.609182176,2.998397403
EUROC_TO_UZH,Source-selected B3 Ridge,15,150,2.313400938,1.702292539,2.976219406
EUROC_TO_UZH,Source-selected B3 Ridge,16,160,2.358810426,1.731210904,3.006452866
EUROC_TO_UZH,Source-selected B3 Ridge,17,170,2.338661474,1.65271115,3.088436924
EUROC_TO_UZH,Source-selected B3 Ridge,18,180,2.288138838,1.613163564,3.094440104
EUROC_TO_UZH,Source-selected B3 Ridge,19,190,2.297302063,1.696425865,3.036497076
EUROC_TO_UZH,Source-selected B3 Ridge,20,200,2.369796135,1.79475469,3.011505366
EUROC_TO_UZH,TCN,1,10,0.9585503467,0.7059097195,1.200461916
EUROC_TO_UZH,TCN,2,20,1.446513263,0.9954621623,1.92237003
EUROC_TO_UZH,TCN,3,30,1.586985123,1.097094183,2.12890301
EUROC_TO_UZH,TCN,4,40,1.753478549,1.230860534,2.355247721
EUROC_TO_UZH,TCN,5,50,1.945113063,1.381212293,2.521134059
EUROC_TO_UZH,TCN,6,60,2.068350799,1.437428235,2.675549568
EUROC_TO_UZH,TCN,7,70,2.081465529,1.389108133,2.813263727
EUROC_TO_UZH,TCN,8,80,2.031595648,1.36505422,2.786120335
EUROC_TO_UZH,TCN,9,90,2.067062716,1.440247985,2.804201356
EUROC_TO_UZH,TCN,10,100,2.128054488,1.541524178,2.741536364
EUROC_TO_UZH,TCN,11,110,2.200370151,1.598081824,2.82058123
EUROC_TO_UZH,TCN,12,120,2.239947656,1.568624024,2.970669384
EUROC_TO_UZH,TCN,13,130,2.15445136,1.489289742,2.934770913
EUROC_TO_UZH,TCN,14,140,2.167698125,1.56428113,2.898002071
EUROC_TO_UZH,TCN,15,150,2.241261159,1.658371811,2.878225175
EUROC_TO_UZH,TCN,16,160,2.249699399,1.659111203,2.857750868
EUROC_TO_UZH,TCN,17,170,2.235769024,1.5825986,2.934019522
EUROC_TO_UZH,TCN,18,180,2.213650296,1.559210968,2.995110613
EUROC_TO_UZH,TCN,19,190,2.220979303,1.630985825,2.958742386
EUROC_TO_UZH,TCN,20,200,2.291192998,1.741321603,2.900497168
EUROC_TO_UZH,GRU,1,10,1.80130408,1.21371885,2.374621611
EUROC_TO_UZH,GRU,2,20,1.902764245,1.225095093,2.616753191
EUROC_TO_UZH,GRU,3,30,1.867097803,1.200945792,2.62427838
EUROC_TO_UZH,GRU,4,40,1.86703269,1.270408461,2.565175491
EUROC_TO_UZH,GRU,5,50,1.960339551,1.380273576,2.558863856
EUROC_TO_UZH,GRU,6,60,2.03902259,1.421615502,2.649773102
EUROC_TO_UZH,GRU,7,70,2.031045645,1.339111306,2.767659253
