context,model,metric,reported_value,recomputed_value,absolute_difference,relative_difference,tolerance,status
UZH_TO_EUROC,Best frozen Ridge,mean_seq_rmse,0.8153206077,0.8153206077,3.33333360913457e-11,4.0883715898434414e-11,1e-06,PASS
UZH_TO_EUROC,Best frozen Ridge,ci_low,0.6622252219,0.6622252219,1.6666557023370387e-11,2.5167505664541326e-11,1e-06,PASS
UZH_TO_EUROC,Best frozen Ridge,ci_high,0.932407026,0.932407026,1.6666779067975313e-11,1.7875003730372268e-11,1e-06,PASS
UZH_TO_EUROC,Best frozen Ridge,median_seq_rmse,0.8575961473,0.8575961473,0,0,1e-06,PASS
UZH_TO_EUROC,Best frozen Ridge,mean_mae,0.5699065357,0.5699065357,3.33333360913457e-11,5.848912760827231e-11,1e-06,PASS
UZH_TO_EUROC,Best frozen Ridge,rmse_50ms,0.7176834541,0.7176834541,3.333344711364816e-11,4.64458904872615e-11,1e-06,PASS
UZH_TO_EUROC,Best frozen Ridge,rmse_100ms,0.8158647328,0.8158647328,1.6666890090277775e-11,2.0428496808629028e-11,1e-06,PASS
UZH_TO_EUROC,Best frozen Ridge,rmse_200ms,0.8909850288,0.8909850288,5.000000413701855e-11,5.611767035452858e-11,1e-06,PASS
UZH_TO_EUROC,Best frozen Ridge,skill_vs_persistence,0.1108740262,0.1108740262,1.4484247135015949e-12,1.3063697271071003e-11,1e-06,PASS
UZH_TO_EUROC,TCN,mean_seq_rmse,0.8253822249,0.8253822249,1.1102230246251565e-16,1.3451016888080752e-16,1e-06,PASS
UZH_TO_EUROC,TCN,ci_low,0.6937538619,0.6937538618,6.66666721826914e-11,9.609556911165845e-11,1e-06,PASS
UZH_TO_EUROC,TCN,ci_high,0.931626675,0.931626675,0,0,1e-06,PASS
UZH_TO_EUROC,TCN,median_seq_rmse,0.8627376811,0.8627376812,5.000000413701855e-11,5.79550484838775e-11,1e-06,PASS
UZH_TO_EUROC,TCN,mean_mae,0.5955467083,0.5955467083,1.666666804567285e-11,2.7985492679907823e-11,1e-06,PASS
UZH_TO_EUROC,TCN,rmse_50ms,0.695086759,0.695086759,1.6666779067975313e-11,2.3977983830325433e-11,1e-06,PASS
UZH_TO_EUROC,TCN,rmse_100ms,0.8117346473,0.8117346474,1.0000011929633956e-10,1.2319311443580852e-10,1e-06,PASS
UZH_TO_EUROC,TCN,rmse_200ms,0.882743794,0.8827437941,1.333333443653828e-10,1.510442160813229e-10,1e-06,PASS
UZH_TO_EUROC,TCN,skill_vs_persistence,0.09990160003,0.09990160004,1.3151521538468103e-11,1.3164475378290998e-10,1e-06,PASS
UZH_TO_EUROC,GRU,mean_seq_rmse,0.8047074577,0.8047074577,3.333322506904324e-11,4.1422786318292175e-11,1e-06,PASS
UZH_TO_EUROC,GRU,ci_low,0.6653984415,0.6653984415,1.6666557023370387e-11,2.5047484310001026e-11,1e-06,PASS
UZH_TO_EUROC,GRU,ci_high,0.9172245226,0.9172245226,1.6666557023370387e-11,1.817064046230112e-11,1e-06,PASS
UZH_TO_EUROC,GRU,median_seq_rmse,0.8439370242,0.8439370241,5.000011515932101e-11,5.92462633177138e-11,1e-06,PASS
UZH_TO_EUROC,GRU,mean_mae,0.5651452006,0.5651452006,1.666666804567285e-11,2.949094857034667e-11,1e-06,PASS
UZH_TO_EUROC,GRU,rmse_50ms,0.693368381,0.693368381,0,0,1e-06,PASS
UZH_TO_EUROC,GRU,rmse_100ms,0.7981244517,0.7981244517,1.666666804567285e-11,2.088229224173367e-11,1e-06,PASS
