evaluation_context,dataset,sequence_id,model,rmse_all,rmse_high_p95_targets,p95_threshold,notes
WITHIN_UZH,UZH_FPV,indoor_45_2_snapdragon,B2_RIDGE_QF,2.084439628,8.264124501,11.07949287,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_45_2_snapdragon,B3_RIDGE_QF_QW,2.105835822,8.339675526,11.07949287,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,B0_PERSISTENCE,2.573046277,9.633296645,11.07949287,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,B1_LINEAR,6.024103109,21.1081794,11.07949287,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,B2_RIDGE_QF,2.176603543,8.805465998,11.07949287,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,B3_RIDGE_QF_QW,2.140724636,8.684256998,11.07949287,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_45_4_snapdragon,B0_PERSISTENCE,3.160309351,12.26579237,10.68103471,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_45_4_snapdragon,B1_LINEAR,7.678485509,26.30797382,10.68103471,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_45_4_snapdragon,B2_RIDGE_QF,2.471973853,9.90709019,10.68103471,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_45_4_snapdragon,B3_RIDGE_QF_QW,2.468347002,9.954414274,10.68103471,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,B0_PERSISTENCE,3.160309351,12.26579237,10.68103471,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,B1_LINEAR,7.678485509,26.30797382,10.68103471,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,B2_RIDGE_QF,2.651463396,10.86744469,10.68103471,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,B3_RIDGE_QF_QW,2.634099239,10.78060851,10.68103471,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_45_13_snapdragon,B0_PERSISTENCE,2.461928413,9.165309932,11.13201809,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_45_13_snapdragon,B1_LINEAR,5.311640281,17.61045014,11.13201809,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_45_13_snapdragon,B2_RIDGE_QF,1.914785614,7.454524938,11.13201809,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_45_13_snapdragon,B3_RIDGE_QF_QW,1.929808891,7.512383375,11.13201809,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,B0_PERSISTENCE,2.461928413,9.165309932,11.13201809,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,B1_LINEAR,5.311640281,17.61045014,11.13201809,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,B2_RIDGE_QF,2.01903845,8.006167508,11.13201809,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,B3_RIDGE_QF_QW,2.000733662,7.927485129,11.13201809,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_45_14_snapdragon,B0_PERSISTENCE,2.619887629,9.216093978,14.56003347,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_45_14_snapdragon,B1_LINEAR,6.104955021,16.75631249,14.56003347,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_45_14_snapdragon,B2_RIDGE_QF,2.416970832,8.659951868,14.56003347,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_45_14_snapdragon,B3_RIDGE_QF_QW,2.354346371,8.571770558,14.56003347,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,B0_PERSISTENCE,2.619887629,9.216093978,14.56003347,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,B1_LINEAR,6.104955021,16.75631249,14.56003347,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,B2_RIDGE_QF,2.464578805,9.26984937,14.56003347,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,B3_RIDGE_QF_QW,2.41386418,9.122458844,14.56003347,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B0_PERSISTENCE,2.193506128,6.700797618,11.40654808,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B1_LINEAR,4.281946961,11.08600365,11.40654808,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B2_RIDGE_QF,1.569358506,5.574028056,11.40654808,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B3_RIDGE_QF_QW,1.544402622,5.608218259,11.40654808,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B0_PERSISTENCE,2.193506128,6.700797618,11.40654808,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B1_LINEAR,4.281946961,11.08600365,11.40654808,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B2_RIDGE_QF,1.593982042,5.635703253,11.40654808,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B3_RIDGE_QF_QW,1.575942302,5.61437465,11.40654808,secondary descriptive; training unchanged
