evaluation_context,model,horizon_index,horizon_ms,equal_sequence_mean_rmse
WITHIN_UZH,B2_RIDGE_QF,12,120,2.129060852
WITHIN_UZH,B2_RIDGE_QF,13,130,2.090683782
WITHIN_UZH,B2_RIDGE_QF,14,140,2.11520782
WITHIN_UZH,B2_RIDGE_QF,15,150,2.166607425
WITHIN_UZH,B2_RIDGE_QF,16,160,2.182061182
WITHIN_UZH,B2_RIDGE_QF,17,170,2.142797911
WITHIN_UZH,B2_RIDGE_QF,18,180,2.098479329
WITHIN_UZH,B2_RIDGE_QF,19,190,2.126744553
WITHIN_UZH,B2_RIDGE_QF,20,200,2.195625135
WITHIN_UZH,B3_RIDGE_QF_QW,1,10,0.7869797083
WITHIN_UZH,B3_RIDGE_QF_QW,2,20,1.231929869
WITHIN_UZH,B3_RIDGE_QF_QW,3,30,1.505810592
WITHIN_UZH,B3_RIDGE_QF_QW,4,40,1.666697856
WITHIN_UZH,B3_RIDGE_QF_QW,5,50,1.833155396
WITHIN_UZH,B3_RIDGE_QF_QW,6,60,1.971337726
WITHIN_UZH,B3_RIDGE_QF_QW,7,70,1.996325982
WITHIN_UZH,B3_RIDGE_QF_QW,8,80,1.973543788
WITHIN_UZH,B3_RIDGE_QF_QW,9,90,2.021927493
WITHIN_UZH,B3_RIDGE_QF_QW,10,100,2.094722431
WITHIN_UZH,B3_RIDGE_QF_QW,11,110,2.111470538
WITHIN_UZH,B3_RIDGE_QF_QW,12,120,2.070050713
WITHIN_UZH,B3_RIDGE_QF_QW,13,130,2.034025759
WITHIN_UZH,B3_RIDGE_QF_QW,14,140,2.056087786
WITHIN_UZH,B3_RIDGE_QF_QW,15,150,2.111875629
WITHIN_UZH,B3_RIDGE_QF_QW,16,160,2.129252449
WITHIN_UZH,B3_RIDGE_QF_QW,17,170,2.10433959
WITHIN_UZH,B3_RIDGE_QF_QW,18,180,2.082400946
WITHIN_UZH,B3_RIDGE_QF_QW,19,190,2.094869103
WITHIN_UZH,B3_RIDGE_QF_QW,20,200,2.148913811
EUROC_TO_UZH,B0_PERSISTENCE,1,10,0.752581503
EUROC_TO_UZH,B0_PERSISTENCE,2,20,1.265163695
EUROC_TO_UZH,B0_PERSISTENCE,3,30,1.529500584
EUROC_TO_UZH,B0_PERSISTENCE,4,40,1.770062019
EUROC_TO_UZH,B0_PERSISTENCE,5,50,2.03828528
EUROC_TO_UZH,B0_PERSISTENCE,6,60,2.235356801
EUROC_TO_UZH,B0_PERSISTENCE,7,70,2.332955847
EUROC_TO_UZH,B0_PERSISTENCE,8,80,2.370508687
EUROC_TO_UZH,B0_PERSISTENCE,9,90,2.433965873
EUROC_TO_UZH,B0_PERSISTENCE,10,100,2.513596044
EUROC_TO_UZH,B0_PERSISTENCE,11,110,2.56613227
EUROC_TO_UZH,B0_PERSISTENCE,12,120,2.57301019
EUROC_TO_UZH,B0_PERSISTENCE,13,130,2.565567194
EUROC_TO_UZH,B0_PERSISTENCE,14,140,2.615798424
EUROC_TO_UZH,B0_PERSISTENCE,15,150,2.683051602
EUROC_TO_UZH,B0_PERSISTENCE,16,160,2.714776004
EUROC_TO_UZH,B0_PERSISTENCE,17,170,2.700634049
EUROC_TO_UZH,B0_PERSISTENCE,18,180,2.65473854
EUROC_TO_UZH,B0_PERSISTENCE,19,190,2.643728484
EUROC_TO_UZH,B0_PERSISTENCE,20,200,2.654521275
EUROC_TO_UZH,B1_LINEAR,1,10,1.440057407
EUROC_TO_UZH,B1_LINEAR,2,20,1.927099099
EUROC_TO_UZH,B1_LINEAR,3,30,2.327210237
EUROC_TO_UZH,B1_LINEAR,4,40,2.740798547
EUROC_TO_UZH,B1_LINEAR,5,50,3.151231373
EUROC_TO_UZH,B1_LINEAR,6,60,3.50695153
EUROC_TO_UZH,B1_LINEAR,7,70,3.838293726
EUROC_TO_UZH,B1_LINEAR,8,80,4.148983589
EUROC_TO_UZH,B1_LINEAR,9,90,4.452707533
EUROC_TO_UZH,B1_LINEAR,10,100,4.76685033
EUROC_TO_UZH,B1_LINEAR,11,110,5.078947887
EUROC_TO_UZH,B1_LINEAR,12,120,5.370172153
EUROC_TO_UZH,B1_LINEAR,13,130,5.675158214
EUROC_TO_UZH,B1_LINEAR,14,140,6.017342648
EUROC_TO_UZH,B1_LINEAR,15,150,6.349293263
EUROC_TO_UZH,B1_LINEAR,16,160,6.661371956
EUROC_TO_UZH,B1_LINEAR,17,170,6.938254332
EUROC_TO_UZH,B1_LINEAR,18,180,7.148469343
EUROC_TO_UZH,B1_LINEAR,19,190,7.344084595
EUROC_TO_UZH,B1_LINEAR,20,200,7.553936476
EUROC_TO_UZH,B2_RIDGE_QF,1,10,0.3459299411
EUROC_TO_UZH,B2_RIDGE_QF,2,20,1.098561887
EUROC_TO_UZH,B2_RIDGE_QF,3,30,1.628051015
EUROC_TO_UZH,B2_RIDGE_QF,4,40,1.750709551
EUROC_TO_UZH,B2_RIDGE_QF,5,50,1.866358022
