evaluation_context,fold_id,model,dataset,lag,alpha,n_features,n_outputs,coef_norm,intercept_norm,n_windows,train_sequences,equal_sequence_weight_sums,config_hash,notes
WITHIN_UZH,UZH_FPV_LORO_05_indoor_45_4_snapdragon,B3_RIDGE_QF_QW,UZH_FPV,10,0.01,20,20,10.20651562,44.69856317,9888,"indoor_45_13_snapdragon,indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon","{""indoor_45_13_snapdragon"": 0.14285714285714282, ""indoor_45_14_snapdragon"": 0.14285714285714285, ""indoor_45_2_snapdragon"": 0.14285714285714285, ""indoor_forward_10_snapdragon"": 0.14285714285714285, ""indoor_forward_6_snapdragon"": 0.14285714285714285, ""indoor_forward_9_snapdragon"": 0.14285714285714285, ""outdoor_forward_1_snapdragon"": 0.14285714285714285}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_UZH,UZH_FPV_LORO_06_indoor_45_13_snapdragon,B2_RIDGE_QF,UZH_FPV,25,0.01,25,20,9.54872188,44.64826795,9974,"indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon","{""indoor_45_14_snapdragon"": 0.14285714285714285, ""indoor_45_2_snapdragon"": 0.14285714285714285, ""indoor_45_4_snapdragon"": 0.14285714285714285, ""indoor_forward_10_snapdragon"": 0.14285714285714285, ""indoor_forward_6_snapdragon"": 0.14285714285714285, ""indoor_forward_9_snapdragon"": 0.14285714285714285, ""outdoor_forward_1_snapdragon"": 0.14285714285714285}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_UZH,UZH_FPV_LORO_06_indoor_45_13_snapdragon,B3_RIDGE_QF_QW,UZH_FPV,10,0.01,20,20,10.93924786,44.64826795,9974,"indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon","{""indoor_45_14_snapdragon"": 0.14285714285714285, ""indoor_45_2_snapdragon"": 0.14285714285714285, ""indoor_45_4_snapdragon"": 0.14285714285714285, ""indoor_forward_10_snapdragon"": 0.14285714285714285, ""indoor_forward_6_snapdragon"": 0.14285714285714285, ""indoor_forward_9_snapdragon"": 0.14285714285714285, ""outdoor_forward_1_snapdragon"": 0.14285714285714285}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_UZH,UZH_FPV_LORO_07_indoor_45_14_snapdragon,B2_RIDGE_QF,UZH_FPV,25,1,25,20,2.222308479,44.19001536,9922,"indoor_45_13_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon","{""indoor_45_13_snapdragon"": 0.14285714285714282, ""indoor_45_2_snapdragon"": 0.14285714285714285, ""indoor_45_4_snapdragon"": 0.14285714285714285, ""indoor_forward_10_snapdragon"": 0.14285714285714285, ""indoor_forward_6_snapdragon"": 0.14285714285714285, ""indoor_forward_9_snapdragon"": 0.14285714285714285, ""outdoor_forward_1_snapdragon"": 0.14285714285714285}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_UZH,UZH_FPV_LORO_07_indoor_45_14_snapdragon,B3_RIDGE_QF_QW,UZH_FPV,25,1,50,20,2.116037259,44.19001536,9922,"indoor_45_13_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon","{""indoor_45_13_snapdragon"": 0.14285714285714282, ""indoor_45_2_snapdragon"": 0.14285714285714285, ""indoor_45_4_snapdragon"": 0.14285714285714285, ""indoor_forward_10_snapdragon"": 0.14285714285714285, ""indoor_forward_6_snapdragon"": 0.14285714285714285, ""indoor_forward_9_snapdragon"": 0.14285714285714285, ""outdoor_forward_1_snapdragon"": 0.14285714285714285}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_UZH,UZH_FPV_LORO_08_outdoor_forward_1_snapdragon,B2_RIDGE_QF,UZH_FPV,25,1,25,20,2.395572292,44.59687091,9497,"indoor_45_13_snapdragon,indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon","{""indoor_45_13_snapdragon"": 0.14285714285714282, ""indoor_45_14_snapdragon"": 0.14285714285714285, ""indoor_45_2_snapdragon"": 0.14285714285714285, ""indoor_45_4_snapdragon"": 0.14285714285714285, ""indoor_forward_10_snapdragon"": 0.14285714285714285, ""indoor_forward_6_snapdragon"": 0.14285714285714285, ""indoor_forward_9_snapdragon"": 0.14285714285714285}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
WITHIN_UZH,UZH_FPV_LORO_08_outdoor_forward_1_snapdragon,B3_RIDGE_QF_QW,UZH_FPV,25,1,50,20,2.277574165,44.59687091,9497,"indoor_45_13_snapdragon,indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon","{""indoor_45_13_snapdragon"": 0.14285714285714282, ""indoor_45_14_snapdragon"": 0.14285714285714285, ""indoor_45_2_snapdragon"": 0.14285714285714285, ""indoor_45_4_snapdragon"": 0.14285714285714285, ""indoor_forward_10_snapdragon"": 0.14285714285714285, ""indoor_forward_6_snapdragon"": 0.14285714285714285, ""indoor_forward_9_snapdragon"": 0.14285714285714285}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
EUROC_TO_UZH,TRANSFER_EUROC_TO_UZH,B2_RIDGE_QF,EUROC,25,0.0001,25,20,23.14543829,44.17517981,13474,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult","{""V1_01_easy"": 0.1666666666666666, ""V1_02_medium"": 0.1666666666666667, ""V1_03_difficult"": 0.16666666666666669, ""V2_01_easy"": 0.16666666666666669, ""V2_02_medium"": 0.16666666666666669, ""V2_03_difficult"": 0.16666666666666669}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
EUROC_TO_UZH,TRANSFER_EUROC_TO_UZH,B3_RIDGE_QF_QW,EUROC,25,0.0001,50,20,23.46623577,44.17517981,13474,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult","{""V1_01_easy"": 0.1666666666666666, ""V1_02_medium"": 0.1666666666666667, ""V1_03_difficult"": 0.16666666666666669, ""V2_01_easy"": 0.16666666666666669, ""V2_02_medium"": 0.16666666666666669, ""V2_03_difficult"": 0.16666666666666669}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
UZH_TO_EUROC,TRANSFER_UZH_TO_EUROC,B2_RIDGE_QF,UZH_FPV,25,1,25,20,2.264286335,44.38235335,11169,"indoor_45_13_snapdragon,indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon","{""indoor_45_13_snapdragon"": 0.12500000000000003, ""indoor_45_14_snapdragon"": 0.125, ""indoor_45_2_snapdragon"": 0.125, ""indoor_45_4_snapdragon"": 0.125, ""indoor_forward_10_snapdragon"": 0.12500000000000006, ""indoor_forward_6_snapdragon"": 0.12499999999999997, ""indoor_forward_9_snapdragon"": 0.12499999999999997, ""outdoor_forward_1_snapdragon"": 0.12499999999999997}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
UZH_TO_EUROC,TRANSFER_UZH_TO_EUROC,B3_RIDGE_QF_QW,UZH_FPV,10,0.01,20,20,10.28829862,44.38235335,11169,"indoor_45_13_snapdragon,indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon","{""indoor_45_13_snapdragon"": 0.12500000000000003, ""indoor_45_14_snapdragon"": 0.125, ""indoor_45_2_snapdragon"": 0.125, ""indoor_45_4_snapdragon"": 0.125, ""indoor_forward_10_snapdragon"": 0.12500000000000006, ""indoor_forward_6_snapdragon"": 0.12499999999999997, ""indoor_forward_9_snapdragon"": 0.12499999999999997, ""outdoor_forward_1_snapdragon"": 0.12499999999999997}",0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561,no causal interpretation of coefficients
