evaluation_context,dataset,sequence_id,model,n_origins,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,skill,rmse_h01,rmse_h02,rmse_h03,rmse_h04,rmse_h05,rmse_h06,rmse_h07,rmse_h08,rmse_h09,rmse_h10,rmse_h11,rmse_h12,rmse_h13,rmse_h14,rmse_h15,rmse_h16,rmse_h17,rmse_h18,rmse_h19,rmse_h20,fold_id,notes
WITHIN_UZH,UZH_FPV,indoor_45_13_snapdragon,B2_RIDGE_QF,1195,1.914785614,0.6511202706,2.091949445,2.153756873,2.13671438,0.222241555,0.5351270862,1.278965834,1.817852736,1.861276008,2.091949445,2.283081743,2.032185013,1.80732601,1.857464844,2.153756873,2.213246584,1.924853721,1.789601573,1.855520209,2.134299112,2.199690926,1.919248548,1.786221231,1.865634301,2.13671438,UZH_FPV_LORO_06_indoor_45_13_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_45_13_snapdragon,B3_RIDGE_QF_QW,1195,1.929808891,0.639135891,2.016320689,2.253245103,2.163739027,0.2161393157,0.5378367645,1.352322161,1.88692343,1.841144353,2.016320689,2.184886214,1.96038024,1.866273444,1.978068418,2.253245103,2.259013085,1.923422092,1.813245838,1.863982625,2.149589196,2.208375881,1.910856324,1.819211628,1.885308227,2.163739027,UZH_FPV_LORO_06_indoor_45_13_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_45_14_snapdragon,B0_PERSISTENCE,1247,2.619887629,0.898977044,2.147006439,2.543710698,2.741032327,,0.8791134322,1.51730066,1.56851805,1.771603631,2.147006439,2.606751972,2.997075774,2.855736532,2.608860098,2.543710698,2.682460061,3.00414355,3.049096967,2.890126068,2.694225561,2.910488866,3.354208755,3.217950036,2.839715922,2.741032327,UZH_FPV_LORO_07_indoor_45_14_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_45_14_snapdragon,B1_LINEAR,1247,6.104955021,1.495512699,3.748431499,5.635335967,8.671491902,-1.330235447,1.938493873,2.526217448,2.701853485,3.083450313,3.748431499,4.273120625,4.628864299,4.947353326,5.363360607,5.635335967,5.994735548,6.658473638,7.08672802,7.160806912,7.281846009,7.774583288,8.290547914,8.377126764,8.389400289,8.671491902,UZH_FPV_LORO_07_indoor_45_14_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_45_14_snapdragon,B2_RIDGE_QF,1247,2.416970832,1.163508615,2.04766911,2.248773649,2.445489011,0.077452481,1.461516673,2.008327561,2.043980718,1.987507109,2.04766911,2.326412832,2.708173073,2.622709411,2.371797437,2.248773649,2.433719573,2.794555983,2.715194045,2.468178793,2.36205855,2.576310451,2.909430883,2.787678482,2.531280101,2.445489011,UZH_FPV_LORO_07_indoor_45_14_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_45_14_snapdragon,B3_RIDGE_QF_QW,1247,2.354346371,1.087761216,2.009730399,2.172572627,2.315341642,0.1013559722,1.473832432,2.021564914,2.045966894,1.963923962,2.009730399,2.292229425,2.675982197,2.574957501,2.300677442,2.172572627,2.372870485,2.739970954,2.642436604,2.370628919,2.257839233,2.48535733,2.828377543,2.694288374,2.413375554,2.315341642,UZH_FPV_LORO_07_indoor_45_14_snapdragon,
WITHIN_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B0_PERSISTENCE,1672,2.193506128,0.7288247866,2.218223952,2.607084367,2.443049425,,0.7630691393,1.328314163,1.740091137,2.037149804,2.218223952,2.239129401,2.120505932,2.064076407,2.329170637,2.607084367,2.495318454,2.162710724,2.144525971,2.466809713,2.627136627,2.450140149,2.199718013,2.188887766,2.387489651,2.443049425,UZH_FPV_LORO_08_outdoor_forward_1_snapdragon,
WITHIN_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B1_LINEAR,1672,4.281946961,1.289235722,2.796159702,4.295074739,6.142119035,-0.9521016636,1.096845776,1.601520465,2.11221576,2.516631877,2.796159702,3.013988279,3.190489333,3.377746523,3.790846082,4.295074739,4.508250642,4.480905895,4.609567691,4.976923245,5.292731764,5.444086569,5.552377883,5.719272375,5.957595545,6.142119035,UZH_FPV_LORO_08_outdoor_forward_1_snapdragon,
WITHIN_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B2_RIDGE_QF,1672,1.569358506,0.718230518,1.834231139,1.944325881,1.961237087,0.2845433681,0.9512042441,0.8973637742,1.189372739,1.621260326,1.834231139,1.657945773,1.305098194,1.32063631,1.72363343,1.944325881,1.719284049,1.313836249,1.353924286,1.765816709,1.956277817,1.722069433,1.348185164,1.391912214,1.77914893,1.961237087,UZH_FPV_LORO_08_outdoor_forward_1_snapdragon,
WITHIN_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B3_RIDGE_QF_QW,1672,1.544402622,0.6246689345,1.819667168,1.92476079,1.934971649,0.2959205347,0.9370086341,0.8796856654,1.176757309,1.609622476,1.819667168,1.637483962,1.276706365,1.294947252,1.705372503,1.92476079,1.691738461,1.275296584,1.31780349,1.740215853,1.933174125,1.690618251,1.301445192,1.347738333,1.749503385,1.934971649,UZH_FPV_LORO_08_outdoor_forward_1_snapdragon,
