evaluation_context,dataset,sequence_id,model,n_origins,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,skill,rmse_h01,rmse_h02,rmse_h03,rmse_h04,rmse_h05,rmse_h06,rmse_h07,rmse_h08,rmse_h09,rmse_h10,rmse_h11,rmse_h12,rmse_h13,rmse_h14,rmse_h15,rmse_h16,rmse_h17,rmse_h18,rmse_h19,rmse_h20,fold_id,notes,config_id,seeds_mean
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,TCN,1195,1.9157421,0.7159770761,2.021841483,2.152856516,2.235997733,0.2218530444,0.9134818441,1.345043095,1.653130555,1.711541747,2.021841483,2.184397684,1.862401987,1.806903409,1.852702723,2.152856516,2.176895766,1.962055302,1.866845152,1.91306848,2.193600609,2.191797556,1.965995811,1.868397358,1.922046609,2.235997733,,frozen source checkpoint; mean over seeds,TCN12,YES
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,TCN,1247,2.453110662,1.119011795,2.039318189,2.188234777,2.430918252,0.06365806122,1.214338932,2.057014765,2.050595239,1.993240901,2.039318189,2.373598959,2.860043999,2.714385391,2.385460336,2.188234777,2.497990638,2.940271976,2.809683548,2.471434425,2.359963668,2.570310248,2.926090194,2.892793362,2.579481971,2.430918252,,frozen source checkpoint; mean over seeds,TCN12,YES
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,TCN,1672,1.560393851,0.7450679881,1.818408471,1.926632184,1.945042641,0.2886302752,0.7583210204,0.9504878676,1.206304456,1.58310938,1.818408471,1.720299467,1.312862127,1.324555979,1.683500931,1.926632184,1.706147949,1.389024748,1.342188067,1.766691329,1.915373535,1.711086918,1.353980958,1.392673377,1.736537735,1.945042641,,frozen source checkpoint; mean over seeds,TCN12,YES
EUROC_TO_UZH,UZH_FPV,indoor_forward_6_snapdragon,GRU,1349,4.000391962,1.83799446,3.548381454,3.83475574,4.13852305,0.01830876524,3.124254114,3.735438866,4.047388091,3.934103671,3.548381454,3.508371057,3.930848894,4.281800266,4.253229076,3.83475574,3.712408558,4.081511594,4.390073599,4.340614735,3.96460685,3.842412246,4.186502393,4.451474448,4.415320311,4.13852305,,frozen source checkpoint; mean over seeds,GRU07,YES
EUROC_TO_UZH,UZH_FPV,indoor_forward_9_snapdragon,GRU,1493,0.8721521701,0.6654452183,0.6828117499,0.8379059093,1.149340559,-0.1454042103,0.5371902927,0.6197309915,0.6240750389,0.6530460801,0.6828117499,0.697852916,0.7138682218,0.7610969917,0.8186469758,0.8379059093,0.8666654325,0.9077362876,0.9454976805,1.000562399,1.018681779,1.018781518,1.030351139,1.066172538,1.114700037,1.149340559,,frozen source checkpoint; mean over seeds,GRU07,YES
EUROC_TO_UZH,UZH_FPV,indoor_forward_10_snapdragon,GRU,1482,1.05252624,0.7074996907,0.911214826,1.049235522,1.329850176,-0.1090090229,0.6907249029,0.7907161658,0.8288883878,0.8907089712,0.911214826,0.8687621304,0.8680976986,0.9637327886,1.047001393,1.049235522,1.03015734,1.059930482,1.131348696,1.19818534,1.20350661,1.170589162,1.177667108,1.240386157,1.301004909,1.329850176,,frozen source checkpoint; mean over seeds,GRU07,YES
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,GRU,1450,2.169560841,0.6602245802,2.116569693,2.215215632,2.277366688,0.1568123511,2.211165749,2.162027015,1.831969085,1.785734853,2.116569693,2.405034768,2.272376652,1.945920167,1.906144589,2.215215632,2.491733378,2.350858034,2.010581557,1.960984518,2.262966379,2.534602535,2.398138336,2.0507705,1.991068591,2.277366688,,frozen source checkpoint; mean over seeds,GRU07,YES
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,GRU,1281,2.600364596,0.6919420361,2.566740105,2.680009099,2.742447168,0.1771803622,2.596306143,2.563589315,2.330433088,2.235808678,2.566740105,2.787074791,2.671970831,2.437843038,2.376740395,2.680009099,2.868948402,2.737695433,2.496136695,2.422529114,2.703054041,2.891903778,2.776534327,2.536317856,2.463121126,2.742447168,,frozen source checkpoint; mean over seeds,GRU07,YES
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,GRU,1195,1.880170555,0.6456512274,2.007599431,2.045501885,2.132112366,0.2363016956,1.814309419,1.634576867,1.631659108,1.717789924,2.007599431,2.063745055,1.765779815,1.694480118,1.766153808,2.045501885,2.089801608,1.79778946,1.744309497,1.82184842,2.088873865,2.129928739,1.844339516,1.793758109,1.874955355,2.132112366,,frozen source checkpoint; mean over seeds,GRU07,YES
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,GRU,1247,2.528019637,1.111183969,2.037230589,2.202284478,2.441382209,0.03506562297,2.06181516,2.657286678,2.527156014,2.148037609,2.037230589,2.377383108,2.819201509,2.710195295,2.359092745,2.202284478,2.487077082,2.897998662,2.792151825,2.464098029,2.327482777,2.589518584,2.978461777,2.852792965,2.539112003,2.441382209,,frozen source checkpoint; mean over seeds,GRU07,YES
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,GRU,1672,1.537120625,0.7114770236,1.812168559,1.880324458,1.935685832,0.2992403326,1.374666858,1.058748059,1.11521361,1.571031731,1.812168559,1.603956897,1.206221535,1.208024691,1.642477309,1.880324458,1.666184101,1.260292222,1.268180988,1.693149245,1.908440268,1.685941205,1.303069412,1.328280093,1.730376755,1.935685832,,frozen source checkpoint; mean over seeds,GRU07,YES
EUROC_TO_UZH,UZH_FPV,indoor_forward_6_snapdragon,TRANSFORMER,1349,4.276050264,2.183685459,3.825471317,4.051187558,4.379347517,-0.04933744077,3.531945809,3.936711109,4.32498295,4.244743915,3.825471317,3.911591127,4.251007564,4.395357569,4.426731716,4.051187558,4.125528579,4.419765216,4.632879049,4.632875204,4.22489883,4.126520391,4.442972704,4.776010568,4.629405134,4.379347517,,frozen source checkpoint; mean over seeds,TR12,YES
EUROC_TO_UZH,UZH_FPV,indoor_forward_9_snapdragon,TRANSFORMER,1493,1.030928846,0.796384412,0.8022671472,0.9770073814,1.343528984,-0.3539268511,0.6481305889,0.7151638096,0.7309415741,0.759925116,0.8022671472,0.8628049222,0.8825430205,0.8845488709,0.9598953294,0.9770073814,1.063398259,1.085363008,1.127247592,1.177677559,1.171684577,1.195667292,1.217311888,1.271413306,1.301797953,1.343528984,,frozen source checkpoint; mean over seeds,TR12,YES
EUROC_TO_UZH,UZH_FPV,indoor_forward_10_snapdragon,TRANSFORMER,1482,1.251095988,0.8560283759,1.052389012,1.218440626,1.54913173,-0.3182348209,0.855142616,0.9082883286,0.9806371544,1.042263575,1.052389012,1.102043152,1.102667005,1.099503821,1.209314856,1.218440626,1.292314317,1.298852699,1.352887314,1.417148697,1.402248661,1.392036583,1.404626574,1.487135661,1.511163922,1.54913173,,frozen source checkpoint; mean over seeds,TR12,YES
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,TRANSFORMER,1450,2.199387026,0.7682225955,2.139646288,2.198074454,2.314745311,0.1452205717,2.336170388,2.220348753,1.895813718,1.832233659,2.139646288,2.435764357,2.306060929,1.9491975,1.914529225,2.198074454,2.513290701,2.380696673,2.028925082,1.98676546,2.269174726,2.538180223,2.402981513,2.100560933,2.022628554,2.314745311,,frozen source checkpoint; mean over seeds,TR12,YES
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,TRANSFORMER,1281,2.645256119,0.8269026361,2.596637377,2.657310484,2.766766199,0.1629755744,2.742564482,2.647283961,2.421966759,2.314570754,2.596637377,2.825321515,2.724579029,2.454734244,2.389094014,2.657310484,2.912546381,2.800581471,2.536252859,2.458502931,2.720770924,2.921073046,2.810957583,2.604455987,2.48280604,2.766766199,,frozen source checkpoint; mean over seeds,TR12,YES
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,TRANSFORMER,1195,1.900848192,0.7712487969,1.98228434,2.031883637,2.162619218,0.227902736,1.92950278,1.657197656,1.635389572,1.70905947,1.98228434,2.031405004,1.748067462,1.687762403,1.783926485,2.031883637,2.10205218,1.839457449,1.788143548,1.864830603,2.110841059,2.152143884,1.880343536,1.867387234,1.913207376,2.162619218,,frozen source checkpoint; mean over seeds,TR12,YES
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,TRANSFORMER,1247,2.684518898,1.340463322,2.205596313,2.36143177,2.599075163,-0.02466948133,2.336681622,2.783930341,2.681310972,2.335425627,2.205596313,2.554386875,2.937073029,2.773583397,2.486760606,2.36143177,2.699359721,3.063321865,2.933353149,2.642299492,2.496488935,2.743323547,3.104230947,3.023850858,2.689764058,2.599075163,,frozen source checkpoint; mean over seeds,TR12,YES
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,TRANSFORMER,1672,1.592594284,0.8247970815,1.830297757,1.888632304,2.006778866,0.273950383,1.507508607,1.129880615,1.151896164,1.593248488,1.830297757,1.621007275,1.243091008,1.250517718,1.675268537,1.888632304,1.706600815,1.344726022,1.36122525,1.751337352,1.959345683,1.759082098,1.401374533,1.429019896,1.800316295,2.006778866,,frozen source checkpoint; mean over seeds,TR12,YES
