evaluation_context,dataset,sequence_id,model,n_origins,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,skill,rmse_h01,rmse_h02,rmse_h03,rmse_h04,rmse_h05,rmse_h06,rmse_h07,rmse_h08,rmse_h09,rmse_h10,rmse_h11,rmse_h12,rmse_h13,rmse_h14,rmse_h15,rmse_h16,rmse_h17,rmse_h18,rmse_h19,rmse_h20,fold_id,notes,config_id,seeds_mean
WITHIN_UZH,UZH_FPV,indoor_45_13_snapdragon,TCN,1195,1.856396769,0.6343344582,2.032799449,2.074741393,2.156598586,0.245958266,0.9958013836,1.217569302,1.689092063,1.77646243,2.032799449,2.109368468,1.905036855,1.717943288,1.816547456,2.074741393,2.093062765,1.810858819,1.748468078,1.796789389,2.1264169,2.156693869,1.856662808,1.756046894,1.823220875,2.156598586,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,indoor_45_14_snapdragon,TCN,1247,2.351206208,1.066686596,1.972004182,2.209281121,2.280632345,0.102554559,1.28319713,1.798097146,1.906985344,1.830987842,1.972004182,2.347138722,2.794000505,2.579027508,2.245800618,2.209281121,2.425741223,2.751875591,2.691470837,2.428538808,2.292278958,2.527294955,2.867639688,2.716631205,2.40423209,2.280632345,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,outdoor_forward_1_snapdragon,TCN,1672,1.585849259,0.6615919317,1.840246953,1.944532586,1.943062854,0.2770253801,0.7732911283,1.12658367,1.347895426,1.69430841,1.840246953,1.711088575,1.380434299,1.449453452,1.752104969,1.944532586,1.760642296,1.274623653,1.334365801,1.786968579,1.932228452,1.709745736,1.29361305,1.340197434,1.715798695,1.943062854,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,indoor_forward_6_snapdragon,GRU,1349,3.610346802,1.495736157,3.095823173,3.49216689,3.796949172,0.1140253648,2.473216231,2.973089453,3.391510293,3.475522182,3.095823173,3.082498153,3.548814652,3.902688512,3.890912075,3.49216689,3.350453865,3.759716901,4.070486594,4.037199308,3.660433693,3.538330944,3.892623195,4.153564807,4.114962234,3.796949172,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,indoor_forward_9_snapdragon,GRU,1493,0.7226274612,0.5093641441,0.6181642427,0.729287474,0.8821415164,0.05096774962,0.5647801102,0.5836240285,0.5603197385,0.5893463977,0.6181642427,0.6364164125,0.6359766022,0.6550342794,0.7011411975,0.729287474,0.7515064005,0.7486504652,0.754763834,0.7834398401,0.812873583,0.8216218347,0.8103111021,0.8160555808,0.8549987976,0.8821415164,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,indoor_forward_10_snapdragon,GRU,1482,0.8234818205,0.5093129876,0.7833396022,0.8399603204,1.016382301,0.1323268392,0.5734471918,0.5973869623,0.6560882789,0.7588576811,0.7833396022,0.7167208192,0.6830364829,0.7431892287,0.8268496155,0.8399603204,0.8108966419,0.8122447149,0.8581856823,0.9221331463,0.9395217961,0.902590943,0.8986797873,0.9399738472,1.003607281,1.016382301,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,indoor_45_2_snapdragon,GRU,1450,2.132514874,0.6499121788,2.044620584,2.255892489,2.278412257,0.1712100584,1.867423645,1.838450133,1.638826291,1.71571038,2.044620584,2.335143632,2.234260474,1.968899453,1.965098394,2.255892489,2.516859784,2.368102436,2.027000932,1.98242669,2.294482747,2.56310861,2.407214402,2.056042771,1.993041153,2.278412257,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,indoor_45_4_snapdragon,GRU,1281,2.532093661,0.6341865898,2.472329505,2.709066879,2.732632504,0.1987829735,2.185162142,2.156743502,1.980331098,2.040866146,2.472329505,2.740063095,2.631707006,2.404512118,2.388040028,2.709066879,2.87434871,2.722959236,2.497821524,2.444197842,2.716454807,2.888817387,2.766394689,2.539052919,2.482894619,2.732632504,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,indoor_45_13_snapdragon,GRU,1195,1.870396014,0.626420008,1.986430191,2.085411237,2.133163496,0.2402719739,1.598525293,1.47723525,1.589511715,1.695826161,1.986430191,2.072488512,1.797448854,1.710023316,1.792113904,2.085411237,2.127309145,1.819171979,1.74468213,1.824484545,2.108827548,2.150383062,1.846874598,1.775497392,1.863923947,2.133163496,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,indoor_45_14_snapdragon,GRU,1247,2.331668469,0.9344111827,1.898491735,2.058130495,2.226788025,0.1100120315,1.667594513,2.207698701,2.138042052,1.922015063,1.898491735,2.25688858,2.693779872,2.560483271,2.211461145,2.058130495,2.3253619,2.737176191,2.626862026,2.309873559,2.167756806,2.421823484,2.815838551,2.663489427,2.342381244,2.226788025,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,outdoor_forward_1_snapdragon,GRU,1672,1.543404542,0.6364365886,1.801601861,1.917505259,1.931000399,0.2963755506,1.215483936,1.008718658,1.138553612,1.564064408,1.801601861,1.627900001,1.25632841,1.244605489,1.674247407,1.917505259,1.70091365,1.290778014,1.296598514,1.712829576,1.915594619,1.680821863,1.304795178,1.334652049,1.737503588,1.931000399,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,indoor_forward_6_snapdragon,TRANSFORMER,1349,3.444319712,1.407719691,2.841520503,3.48095043,3.720265845,0.1547682071,1.331746702,2.057507797,2.734280667,3.024333889,2.841520503,2.8891579,3.46112553,3.805195862,3.84902624,3.48095043,3.354339717,3.751559346,4.029369923,3.998843162,3.598602463,3.466608233,3.859821416,4.108604201,4.07579351,3.720265845,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,indoor_forward_9_snapdragon,TRANSFORMER,1493,0.7509452736,0.5264750271,0.6843179681,0.7586653131,0.8702125247,0.01377774702,0.4796100918,0.6717588265,0.660173306,0.5997891175,0.6843179681,0.7183367753,0.7069411238,0.7092823716,0.7616303815,0.7586653131,0.7797470227,0.7889056568,0.7612020638,0.7872435719,0.8243492663,0.8306311019,0.8140101705,0.8184581606,0.8746024478,0.8702125247,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,indoor_forward_10_snapdragon,TRANSFORMER,1482,0.8534471483,0.5297370895,0.8528490644,0.8869647307,1.007521096,0.1007534517,0.4753062464,0.6869405431,0.7593688408,0.804894439,0.8528490644,0.8098620931,0.7804225195,0.8013030943,0.8881187944,0.8869647307,0.8495436988,0.8433897794,0.8770592402,0.9238722653,0.9364827395,0.8998537041,0.8911242452,0.9368476281,1.00160822,1.007521096,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,indoor_45_2_snapdragon,TRANSFORMER,1450,2.023112935,0.6248882879,1.89444461,2.228594716,2.266630512,0.213728508,1.077982704,1.21004171,1.300710274,1.563291463,1.89444461,2.196634348,2.146452271,1.920276111,1.991850332,2.228594716,2.479785426,2.334081134,1.978776366,1.949191304,2.247987466,2.519079257,2.354914745,2.023226071,1.982886822,2.266630512,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,indoor_45_4_snapdragon,TRANSFORMER,1281,2.428879008,0.6333220873,2.361322649,2.699546189,2.737060287,0.231442641,1.178755821,1.531147999,1.625032751,1.767257502,2.361322649,2.716012402,2.655442288,2.425806107,2.35445831,2.699546189,2.823048087,2.684511957,2.440388234,2.3744247,2.658151735,2.875189371,2.745170702,2.533833302,2.485738936,2.737060287,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,indoor_45_13_snapdragon,TRANSFORMER,1195,1.831160519,0.5998564505,1.966670662,2.068324868,2.122331429,0.2562088689,0.7243548835,1.306798708,1.699597362,1.741248023,1.966670662,2.069393612,1.800420756,1.721663636,1.788909446,2.068324868,2.085248502,1.79989146,1.736714599,1.807934929,2.081578318,2.145517295,1.820573038,1.742454928,1.845070796,2.122331429,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,indoor_45_14_snapdragon,TRANSFORMER,1247,2.268844525,0.9012720777,1.851144852,2.072177947,2.228559527,0.1339916645,1.029910274,1.721858333,1.812062484,1.709029606,1.851144852,2.242635237,2.677442288,2.524531634,2.176939826,2.072177947,2.342763508,2.762002344,2.636183184,2.29359035,2.142652157,2.441934974,2.840796776,2.683906129,2.3575823,2.228559527,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,outdoor_forward_1_snapdragon,TRANSFORMER,1672,1.561095257,0.665321777,1.822748123,1.927922555,1.911469709,0.2883105104,0.7373165984,1.022825139,1.26387789,1.651090616,1.822748123,1.667876584,1.396784062,1.333012133,1.680031932,1.927922555,1.703301944,1.310459375,1.315825974,1.724082865,1.947470601,1.721435661,1.365572435,1.355644876,1.733454324,1.911469709,,nested LORO; mean over seeds,NESTED,YES
