evaluation_context,model,horizon_index,horizon_ms,equal_sequence_mean_rmse
EUROC_TO_UZH,BEST_RIDGE,16,160,2.358810426
EUROC_TO_UZH,BEST_RIDGE,17,170,2.338661474
EUROC_TO_UZH,BEST_RIDGE,18,180,2.288138838
EUROC_TO_UZH,BEST_RIDGE,19,190,2.297302063
EUROC_TO_UZH,BEST_RIDGE,20,200,2.369796135
EUROC_TO_UZH,TCN,1,10,0.9585503468
EUROC_TO_UZH,TCN,2,20,1.446513263
EUROC_TO_UZH,TCN,3,30,1.586985123
EUROC_TO_UZH,TCN,4,40,1.753478549
EUROC_TO_UZH,TCN,5,50,1.945113063
EUROC_TO_UZH,TCN,6,60,2.068350798
EUROC_TO_UZH,TCN,7,70,2.081465529
EUROC_TO_UZH,TCN,8,80,2.031595648
EUROC_TO_UZH,TCN,9,90,2.067062716
EUROC_TO_UZH,TCN,10,100,2.128054488
EUROC_TO_UZH,TCN,11,110,2.200370151
EUROC_TO_UZH,TCN,12,120,2.239947656
EUROC_TO_UZH,TCN,13,130,2.15445136
EUROC_TO_UZH,TCN,14,140,2.167698125
EUROC_TO_UZH,TCN,15,150,2.241261159
EUROC_TO_UZH,TCN,16,160,2.2496994
EUROC_TO_UZH,TCN,17,170,2.235769024
EUROC_TO_UZH,TCN,18,180,2.213650296
EUROC_TO_UZH,TCN,19,190,2.220979303
EUROC_TO_UZH,TCN,20,200,2.291192998
EUROC_TO_UZH,GRU,1,10,1.80130408
EUROC_TO_UZH,GRU,2,20,1.902764245
EUROC_TO_UZH,GRU,3,30,1.867097803
EUROC_TO_UZH,GRU,4,40,1.86703269
EUROC_TO_UZH,GRU,5,50,1.960339551
EUROC_TO_UZH,GRU,6,60,2.03902259
EUROC_TO_UZH,GRU,7,70,2.031045645
EUROC_TO_UZH,GRU,8,80,2.00038667
EUROC_TO_UZH,GRU,9,90,2.021185786
EUROC_TO_UZH,GRU,10,100,2.09315409
EUROC_TO_UZH,GRU,11,110,2.151621988
EUROC_TO_UZH,GRU,12,120,2.136726522
EUROC_TO_UZH,GRU,13,130,2.097285067
EUROC_TO_UZH,GRU,14,140,2.112746475
EUROC_TO_UZH,GRU,15,150,2.184701571
EUROC_TO_UZH,GRU,16,160,2.232959721
EUROC_TO_UZH,GRU,17,170,2.211883001
EUROC_TO_UZH,GRU,18,180,2.164994083
EUROC_TO_UZH,GRU,19,190,2.178707386
EUROC_TO_UZH,GRU,20,200,2.268338506
EUROC_TO_UZH,TRANSFORMER,1,10,1.985955862
EUROC_TO_UZH,TRANSFORMER,2,20,1.999850572
EUROC_TO_UZH,TRANSFORMER,3,30,1.977867358
EUROC_TO_UZH,TRANSFORMER,4,40,1.978933825
EUROC_TO_UZH,TRANSFORMER,5,50,2.054323694
EUROC_TO_UZH,TRANSFORMER,6,60,2.168040528
EUROC_TO_UZH,TRANSFORMER,7,70,2.149386131
EUROC_TO_UZH,TRANSFORMER,8,80,2.06190069
EUROC_TO_UZH,TRANSFORMER,9,90,2.105690096
EUROC_TO_UZH,TRANSFORMER,10,100,2.172996027
EUROC_TO_UZH,TRANSFORMER,11,110,2.301886369
EUROC_TO_UZH,TRANSFORMER,12,120,2.27909555
EUROC_TO_UZH,TRANSFORMER,13,130,2.22011423
EUROC_TO_UZH,TRANSFORMER,14,140,2.241429662
EUROC_TO_UZH,TRANSFORMER,15,150,2.294431674
EUROC_TO_UZH,TRANSFORMER,16,160,2.353503383
EUROC_TO_UZH,TRANSFORMER,17,170,2.33309991
EUROC_TO_UZH,TRANSFORMER,18,180,2.319979305
EUROC_TO_UZH,TRANSFORMER,19,190,2.293886167
EUROC_TO_UZH,TRANSFORMER,20,200,2.390249124
UZH_TO_EUROC,B0_PERSISTENCE,1,10,0.4938250224
UZH_TO_EUROC,B0_PERSISTENCE,2,20,0.7773272208
UZH_TO_EUROC,B0_PERSISTENCE,3,30,0.811504833
UZH_TO_EUROC,B0_PERSISTENCE,4,40,0.7575635961
UZH_TO_EUROC,B0_PERSISTENCE,5,50,0.7514938847
UZH_TO_EUROC,B0_PERSISTENCE,6,60,0.7812461404
UZH_TO_EUROC,B0_PERSISTENCE,7,70,0.8396718193
UZH_TO_EUROC,B0_PERSISTENCE,8,80,0.906149522
UZH_TO_EUROC,B0_PERSISTENCE,9,90,0.9296788064
UZH_TO_EUROC,B0_PERSISTENCE,10,100,0.911398473
UZH_TO_EUROC,B0_PERSISTENCE,11,110,0.9227102094
UZH_TO_EUROC,B0_PERSISTENCE,12,120,0.9667428942
UZH_TO_EUROC,B0_PERSISTENCE,13,130,0.9852100451
UZH_TO_EUROC,B0_PERSISTENCE,14,140,0.9911915153
UZH_TO_EUROC,B0_PERSISTENCE,15,150,1.004233687
UZH_TO_EUROC,B0_PERSISTENCE,16,160,1.022387904
UZH_TO_EUROC,B0_PERSISTENCE,17,170,1.043837376
UZH_TO_EUROC,B0_PERSISTENCE,18,180,1.057135146
UZH_TO_EUROC,B0_PERSISTENCE,19,190,1.067042637
UZH_TO_EUROC,B0_PERSISTENCE,20,200,1.078228258
UZH_TO_EUROC,BEST_RIDGE,1,10,0.5779027159
UZH_TO_EUROC,BEST_RIDGE,2,20,0.6971501478
UZH_TO_EUROC,BEST_RIDGE,3,30,0.7053959385
UZH_TO_EUROC,BEST_RIDGE,4,40,0.6981589871
UZH_TO_EUROC,BEST_RIDGE,5,50,0.7176834541
UZH_TO_EUROC,BEST_RIDGE,6,60,0.7599392074
UZH_TO_EUROC,BEST_RIDGE,7,70,0.8069825941
UZH_TO_EUROC,BEST_RIDGE,8,80,0.8235124561
UZH_TO_EUROC,BEST_RIDGE,9,90,0.818330891
UZH_TO_EUROC,BEST_RIDGE,10,100,0.8158647328
UZH_TO_EUROC,BEST_RIDGE,11,110,0.836569869
UZH_TO_EUROC,BEST_RIDGE,12,120,0.8677179551
UZH_TO_EUROC,BEST_RIDGE,13,130,0.8715155509
UZH_TO_EUROC,BEST_RIDGE,14,140,0.8635089332
UZH_TO_EUROC,BEST_RIDGE,15,150,0.8636997571
UZH_TO_EUROC,BEST_RIDGE,16,160,0.8811704868
UZH_TO_EUROC,BEST_RIDGE,17,170,0.9059710901
UZH_TO_EUROC,BEST_RIDGE,18,180,0.9053587777
UZH_TO_EUROC,BEST_RIDGE,19,190,0.8931978681
UZH_TO_EUROC,BEST_RIDGE,20,200,0.8909850288
UZH_TO_EUROC,TCN,1,10,0.5380013492
UZH_TO_EUROC,TCN,2,20,0.7360966681
UZH_TO_EUROC,TCN,3,30,0.745697813
UZH_TO_EUROC,TCN,4,40,0.7602291452
UZH_TO_EUROC,TCN,5,50,0.695086759
UZH_TO_EUROC,TCN,6,60,0.7591273617
UZH_TO_EUROC,TCN,7,70,0.8237769577
UZH_TO_EUROC,TCN,8,80,0.8601321342
UZH_TO_EUROC,TCN,9,90,0.8070285133
UZH_TO_EUROC,TCN,10,100,0.8117346473
UZH_TO_EUROC,TCN,11,110,0.8052161383
UZH_TO_EUROC,TCN,12,120,0.8439599872
UZH_TO_EUROC,TCN,13,130,0.8867440955
UZH_TO_EUROC,TCN,14,140,0.8668111967
UZH_TO_EUROC,TCN,15,150,0.8852126243
UZH_TO_EUROC,TCN,16,160,0.9117418978
UZH_TO_EUROC,TCN,17,170,0.9285386747
UZH_TO_EUROC,TCN,18,180,0.9181956597
UZH_TO_EUROC,TCN,19,190,0.9063156416
UZH_TO_EUROC,TCN,20,200,0.882743794
UZH_TO_EUROC,GRU,1,10,0.6186621179
UZH_TO_EUROC,GRU,2,20,0.697084494
UZH_TO_EUROC,GRU,3,30,0.6882404374
UZH_TO_EUROC,GRU,4,40,0.6789614145
UZH_TO_EUROC,GRU,5,50,0.693368381
UZH_TO_EUROC,GRU,6,60,0.7340160474
UZH_TO_EUROC,GRU,7,70,0.7754333377
UZH_TO_EUROC,GRU,8,80,0.7972148533
UZH_TO_EUROC,GRU,9,90,0.7964327179
UZH_TO_EUROC,GRU,10,100,0.7981244517
UZH_TO_EUROC,GRU,11,110,0.8214065834
