evaluation_context,dataset,sequence_id,model,rmse_all,rmse_high_p95_targets,p95_threshold,notes
EUROC_TO_UZH,UZH_FPV,indoor_forward_10_snapdragon,BEST_RIDGE,1.048908765,3.060906324,12.44105276,Stage-2 frozen baseline; threshold reused
WITHIN_UZH,UZH_FPV,indoor_45_2_snapdragon,B0_PERSISTENCE,2.573046277,9.633296645,11.07949287,Stage-2 frozen baseline; threshold reused
WITHIN_UZH,UZH_FPV,indoor_45_2_snapdragon,BEST_RIDGE,2.105835822,8.339675526,11.07949287,Stage-2 frozen baseline; threshold reused
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,B0_PERSISTENCE,2.573046277,9.633296645,11.07949287,Stage-2 frozen baseline; threshold reused
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,BEST_RIDGE,2.140724636,8.684256998,11.07949287,Stage-2 frozen baseline; threshold reused
WITHIN_UZH,UZH_FPV,indoor_45_4_snapdragon,B0_PERSISTENCE,3.160309351,12.26579237,10.68103471,Stage-2 frozen baseline; threshold reused
WITHIN_UZH,UZH_FPV,indoor_45_4_snapdragon,BEST_RIDGE,2.468347002,9.954414274,10.68103471,Stage-2 frozen baseline; threshold reused
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,B0_PERSISTENCE,3.160309351,12.26579237,10.68103471,Stage-2 frozen baseline; threshold reused
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,BEST_RIDGE,2.634099239,10.78060851,10.68103471,Stage-2 frozen baseline; threshold reused
WITHIN_UZH,UZH_FPV,indoor_45_13_snapdragon,B0_PERSISTENCE,2.461928413,9.165309932,11.13201809,Stage-2 frozen baseline; threshold reused
WITHIN_UZH,UZH_FPV,indoor_45_13_snapdragon,BEST_RIDGE,1.929808891,7.512383375,11.13201809,Stage-2 frozen baseline; threshold reused
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,B0_PERSISTENCE,2.461928413,9.165309932,11.13201809,Stage-2 frozen baseline; threshold reused
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,BEST_RIDGE,2.000733662,7.927485129,11.13201809,Stage-2 frozen baseline; threshold reused
WITHIN_UZH,UZH_FPV,indoor_45_14_snapdragon,B0_PERSISTENCE,2.619887629,9.216093978,14.56003347,Stage-2 frozen baseline; threshold reused
WITHIN_UZH,UZH_FPV,indoor_45_14_snapdragon,BEST_RIDGE,2.354346371,8.571770558,14.56003347,Stage-2 frozen baseline; threshold reused
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,B0_PERSISTENCE,2.619887629,9.216093978,14.56003347,Stage-2 frozen baseline; threshold reused
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,BEST_RIDGE,2.41386418,9.122458844,14.56003347,Stage-2 frozen baseline; threshold reused
WITHIN_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B0_PERSISTENCE,2.193506128,6.700797618,11.40654808,Stage-2 frozen baseline; threshold reused
WITHIN_UZH,UZH_FPV,outdoor_forward_1_snapdragon,BEST_RIDGE,1.544402622,5.608218259,11.40654808,Stage-2 frozen baseline; threshold reused
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B0_PERSISTENCE,2.193506128,6.700797618,11.40654808,Stage-2 frozen baseline; threshold reused
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,BEST_RIDGE,1.575942302,5.61437465,11.40654808,Stage-2 frozen baseline; threshold reused
