native_fs_hz,frequency_hz,magnitude_db,phase_rad
200,94.38476562,-69.57298328,-1.528841036
200,94.43359375,-69.64651129,-1.529208254
200,94.48242188,-69.72072913,-1.52957541
200,94.53125,-69.79564866,-1.529942503
200,94.58007812,-69.87128206,-1.530309534
200,94.62890625,-69.94764182,-1.530676504
200,94.67773438,-70.02474079,-1.531043413
200,94.7265625,-70.10259219,-1.531410263
200,94.77539062,-70.18120958,-1.531777052
200,94.82421875,-70.26060692,-1.532143783
200,94.87304687,-70.34079856,-1.532510455
200,94.921875,-70.42179928,-1.532877069
200,94.97070312,-70.50362428,-1.533243626
200,95.01953125,-70.58628919,-1.533610126
200,95.06835938,-70.66981013,-1.53397657
200,95.1171875,-70.75420368,-1.534342959
200,95.16601562,-70.83948694,-1.534709292
200,95.21484375,-70.92567751,-1.535075571
200,95.26367187,-71.01279356,-1.535441796
200,95.3125,-71.10085379,-1.535807968
200,95.36132812,-71.18987753,-1.536174086
200,95.41015625,-71.2798847,-1.536540153
200,95.45898438,-71.37089586,-1.536906168
200,95.5078125,-71.46293224,-1.537272131
200,95.55664062,-71.55601577,-1.537638044
200,95.60546875,-71.65016911,-1.538003908
200,95.65429687,-71.74541568,-1.538369721
200,95.703125,-71.84177969,-1.538735486
200,95.75195312,-71.93928619,-1.539101202
200,95.80078125,-72.03796108,-1.539466871
200,95.84960938,-72.1378312,-1.539832493
200,95.8984375,-72.23892432,-1.540198067
200,95.94726562,-72.34126922,-1.540563596
200,95.99609375,-72.44489572,-1.540929079
200,96.04492187,-72.54983475,-1.541294518
200,96.09375,-72.65611838,-1.541659911
200,96.14257812,-72.76377989,-1.542025261
200,96.19140625,-72.87285387,-1.542390568
200,96.24023438,-72.98337619,-1.542755832
200,96.2890625,-73.09538418,-1.543121053
200,96.33789062,-73.20891663,-1.543486233
200,96.38671875,-73.32401388,-1.543851372
200,96.43554688,-73.44071796,-1.54421647
200,96.484375,-73.55907259,-1.544581529
200,96.53320312,-73.67912337,-1.544946548
